epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,44.0811,3.35678,5.61146,4.27566,0,0,0,0,3.3871,5.97743,4.16109,2.55731e-05,2.55731e-05,2.55731e-05
72,44.8332,3.16881,5.55986,4.28401,0,0,0,0,3.38725,5.97714,4.16168,2.5102e-05,2.5102e-05,2.5102e-05
73,45.4695,2.82745,5.51604,4.28197,0,0,0,0,3.38725,5.97714,4.16168,2.46073e-05,2.46073e-05,2.46073e-05
74,46.1169,3.24255,5.39364,4.2727,0,0,0,0,3.38725,5.97714,4.16168,2.40891e-05,2.40891e-05,2.40891e-05
75,46.8232,3.10459,5.72017,4.19875,0,0,0,0,3.38743,5.97723,4.1624,2.35472e-05,2.35472e-05,2.35472e-05
76,47.4972,3.36409,5.51019,4.27782,0,0,0,0,3.38743,5.97723,4.1624,2.29819e-05,2.29819e-05,2.29819e-05
77,48.1131,3.36712,5.37313,4.23229,0,0,0,0,3.38743,5.97723,4.1624,2.23929e-05,2.23929e-05,2.23929e-05
78,48.7587,2.87635,5.43435,4.25365,0,0,0,0,3.3876,5.97711,4.16307,2.17805e-05,2.17805e-05,2.17805e-05
79,49.3913,3.21345,5.4694,4.18771,0,0,0,0,3.3876,5.97711,4.16307,2.11444e-05,2.11444e-05,2.11444e-05
80,50.0374,3.75526,5.6115,4.29826,0,0,0,0,3.3876,5.97711,4.16307,2.04848e-05,2.04848e-05,2.04848e-05
81,51.1877,2.84337,5.54874,4.19007,0,0,0,0,3.38782,5.97697,4.16383,1.98016e-05,1.98016e-05,1.98016e-05
82,52.7901,3.11131,5.53967,4.20729,0,0,0,0,3.38782,5.97697,4.16383,1.90949e-05,1.90949e-05,1.90949e-05
83,53.5383,3.05104,5.45546,4.24345,0,0,0,0,3.38782,5.97697,4.16383,1.83646e-05,1.83646e-05,1.83646e-05
84,54.2885,3.14005,5.52106,4.23411,0,0,0,0,3.38801,5.97695,4.16451,1.76107e-05,1.76107e-05,1.76107e-05
85,54.888,3.41,5.46336,4.25806,0,0,0,0,3.38801,5.97695,4.16451,1.68333e-05,1.68333e-05,1.68333e-05
86,55.5015,3.59051,5.46409,4.2516,0,0,0,0,3.38801,5.97695,4.16451,1.60323e-05,1.60323e-05,1.60323e-05
87,56.1033,2.81505,5.2855,4.22815,0,0,0,0,3.38801,5.97695,4.16451,1.52077e-05,1.52077e-05,1.52077e-05
88,56.7564,2.92673,5.90163,4.2626,0,0,0,0,3.38809,5.97698,4.16604,1.43596e-05,1.43596e-05,1.43596e-05
89,57.4053,2.80863,5.51475,4.31864,0,0,0,0,3.38809,5.97698,4.16604,1.34879e-05,1.34879e-05,1.34879e-05
90,58.0438,2.82853,5.52072,4.28914,0,0,0,0,3.38809,5.97698,4.16604,1.25927e-05,1.25927e-05,1.25927e-05
91,58.6639,2.6943,5.63275,4.21791,0,0,0,0,3.38809,5.97698,4.16604,1.16739e-05,1.16739e-05,1.16739e-05
92,59.3018,2.96634,5.48623,4.24484,0,0,0,0,3.3881,5.9769,4.16692,1.07315e-05,1.07315e-05,1.07315e-05
93,60.0731,2.84497,5.55948,4.23541,0,0,0,0,3.3881,5.9769,4.16692,9.76562e-06,9.76562e-06,9.76562e-06
94,60.7024,2.8908,5.7522,4.25158,0,0,0,0,3.3881,5.9769,4.16692,8.77613e-06,8.77613e-06,8.77613e-06
95,61.3351,3.1261,5.60983,4.1673,0,0,0,0,3.3881,5.9769,4.16692,7.76308e-06,7.76308e-06,7.76308e-06
96,61.9848,3.05942,5.57121,4.20965,0,0,0,0,3.3881,5.97703,4.16774,6.72648e-06,6.72648e-06,6.72648e-06
97,62.5863,3.02106,5.79521,4.27198,0,0,0,0,3.3881,5.97703,4.16774,5.6663e-06,5.6663e-06,5.6663e-06
98,63.2389,2.91704,5.51231,4.20692,0,0,0,0,3.3881,5.97703,4.16774,4.58257e-06,4.58257e-06,4.58257e-06
99,63.8659,2.90893,5.64957,4.21959,0,0,0,0,3.3881,5.97703,4.16774,3.47528e-06,3.47528e-06,3.47528e-06
100,64.481,3.00711,5.66294,4.26598,0,0,0,0,3.38811,5.97726,4.16838,2.34442e-06,2.34442e-06,2.34442e-06
