epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,76.8184,0.66287,0.91091,1.11462,0.75268,0.48333,0.52595,0.3126,1.74989,1.86107,1.4335,3.00475e-05,3.00475e-05,3.00475e-05
52,78.2831,0.87926,1.78108,1.43133,0.75268,0.48333,0.52595,0.3126,1.74989,1.86107,1.4335,3.00476e-05,3.00476e-05,3.00476e-05
53,79.7151,0.85603,0.79327,1.28281,0.75268,0.48333,0.52595,0.3126,1.74989,1.86107,1.4335,3.00242e-05,3.00242e-05,3.00242e-05
54,81.1855,0.79892,0.88004,1.1584,0.77634,0.49725,0.52379,0.30917,1.74047,1.90306,1.43518,2.99772e-05,2.99772e-05,2.99772e-05
55,82.5946,0.76746,0.72206,1.18238,0.77634,0.49725,0.52379,0.30917,1.74047,1.90306,1.43518,2.99066e-05,2.99066e-05,2.99066e-05
56,84.0699,0.96447,1.1051,1.36986,0.77634,0.49725,0.52379,0.30917,1.74047,1.90306,1.43518,2.98125e-05,2.98125e-05,2.98125e-05
57,85.6321,0.70028,0.78813,1.11521,0.77704,0.4976,0.52519,0.30019,1.76031,1.94215,1.44984,2.96948e-05,2.96948e-05,2.96948e-05
58,87.1028,0.6981,0.87923,1.09713,0.77704,0.4976,0.52519,0.30019,1.76031,1.94215,1.44984,2.95535e-05,2.95535e-05,2.95535e-05
59,88.6796,0.64601,0.79426,1.08083,0.77704,0.4976,0.52519,0.30019,1.76031,1.94215,1.44984,2.93887e-05,2.93887e-05,2.93887e-05
60,90.1662,0.48958,0.84341,0.95385,0.77638,0.49782,0.52749,0.30801,1.80881,2.01881,1.47039,2.92003e-05,2.92003e-05,2.92003e-05
61,91.5965,0.79165,0.83571,1.28098,0.77638,0.49782,0.52749,0.30801,1.80881,2.01881,1.47039,2.89884e-05,2.89884e-05,2.89884e-05
62,93.0631,0.84995,0.93215,1.25907,0.77638,0.49782,0.52749,0.30801,1.80881,2.01881,1.47039,2.87529e-05,2.87529e-05,2.87529e-05
63,94.5712,0.88481,0.72361,1.40825,0.7811,0.49716,0.53088,0.2826,1.8477,2.08746,1.49106,2.84938e-05,2.84938e-05,2.84938e-05
64,96.0132,0.72269,1.03927,1.13186,0.7811,0.49716,0.53088,0.2826,1.8477,2.08746,1.49106,2.82112e-05,2.82112e-05,2.82112e-05
65,97.4669,0.58775,0.70628,1.08833,0.7811,0.49716,0.53088,0.2826,1.8477,2.08746,1.49106,2.7905e-05,2.7905e-05,2.7905e-05
66,98.9178,1.00314,1.24598,1.24813,0.78069,0.49727,0.53053,0.29014,1.85234,2.10239,1.49517,2.75753e-05,2.75753e-05,2.75753e-05
67,100.328,0.88356,1.30674,1.25699,0.78069,0.49727,0.53053,0.29014,1.85234,2.10239,1.49517,2.7222e-05,2.7222e-05,2.7222e-05
68,101.796,0.98096,1.26861,1.44949,0.78069,0.49727,0.53053,0.29014,1.85234,2.10239,1.49517,2.68451e-05,2.68451e-05,2.68451e-05
69,103.447,0.647,0.6309,1.03514,0.78248,0.49728,0.53413,0.29098,1.86181,2.11327,1.50443,2.64447e-05,2.64447e-05,2.64447e-05
70,104.879,1.20741,1.13776,1.49607,0.78248,0.49728,0.53413,0.29098,1.86181,2.11327,1.50443,2.60207e-05,2.60207e-05,2.60207e-05
71,106.311,0.76197,0.61658,1.16366,0.78248,0.49728,0.53413,0.29098,1.86181,2.11327,1.50443,2.55731e-05,2.55731e-05,2.55731e-05
72,107.801,0.68192,0.99999,1.11064,0.88384,0.38323,0.47429,0.30255,1.83952,2.20077,1.52516,2.5102e-05,2.5102e-05,2.5102e-05
